What is command to add new user? How to give them password?;$ useradd [username] $passwd [username]
 name the main available package Management Systems. Describe them.; The main package Management systems are RPM and dpkg. RPM is the redhat package manager and is used on all red hat derivative distributions. Dpkg is the Debian package manager and is used on all Debian derivative distribution.
 regarding package Management Systems, what are the two levels of utilities and why are two levels needed?; The two levels of package Management systems are high-level and low-level. High-level utilities install packages and handle dependencies as well as package conflicts. Low-level utilities install the software only they cannot handle dependencies and conflicts. 
Name the low level package management system utilities.; Low-level utilities are RPM and dpkg. The only handle installation, not conflicts and dependencies.
 Name high-level package Management Systems.; apt, apt-get, apt-cache, yum, dnf Are high-level utilities. They handle installation as well as conflicts and dependencies.
 Why is creating your own package beneficial?; Packages enhance the control over where software is installed  And how it is installed. It is self-contained and can create its own siblings, its own directories, has its own permission, and its own symlinks.
 What is the role of source control systems?; Managing projects become more difficult as they grow in size and number a people contributing to them. Source control coordinate the interactions of the group working on the project. Source control coordinates the operations  between development and deployment.
 Give a brief description of git?; Git was written by Linus Torvalds. He wrote it to replace bitkeeper, a source control system that was used by the Linux kernel development team. Git is made up of three primary objects blobs, trees, commit. Most notably, it does not depend on file names for backups.
What do package Management systems do?; package Management Systems give us the tools that allow us to automate installation, removal, updating, configuring. 
What is included in a package?; A package may include executable files, data files documentation, configuration files, and metadata: version numbers, checksum, dependencies Etc. 
When a package is installed is it the information stored internally?; Yes, when a package is installed all of its information is stored in and internal database. It is easily queried for version status and update information.
What is a metal package?; A metal package is a group of associated packages. They are used to install relatively large subsystems such as in office suite.
 What is an architecture independent package?; Architecture independent packages are packages that contain files and scripts which run under and interpreter. Self-contained most likely.
Name a few  Boutique package Management Systems.; portage, pacman, tar balls (old version, no removal or install methods, slackware)
What is a package Repository?; Every distribution has a package Repository. Package repositories are where are system utilities go to get the software and updates with new version.
 Whose job is it to ensure that the package repository software plays well with others?; It is the job of the distribution to ensure that its package repositories contain software that plays well with others.
 Are there other repositories besides the distributions main package repo?; Yes, there are external repositories. And conflicts can arise between external package systems and the main repo.
 Describe dependency hell.; dependency hell is when dependencies from a main repository are updated separate from the external repository. Breaking packages from one or the other.
 What is EPEL?;  it stands for extra packages for Enterprise Linux. E p e l is an external  repository that plays well with Red Hat Linux.
 RPM controls what four major actions in Linux?; RPM controls the installation, verification, upgrade, and removal of software on Linux.
 is Red Hat package manager a low-level or a high-level utility?; Redhat package manager is a low-level utility. It cannot handle errors and dependency issues.
 Describe the contents of an RPM file.; RPM files contain all files and information needed to install a program. 
are RPM files distribution dependent?; Yes, RPM files are distribution specific. It may be impossible to install on another distribution.
 List advantages of using redhat package manager.; Determine what package a file is a part of. determine what version is installed. Install and uninstall packages without leaving debris. verify a package was installed correctly. Distinguish documents from the rest of the package. Capable of installing packages over the internet.
describe the naming convention for RPM files, both binary and source.; The prefix of a binary RPM file is made up of the name, version, and release number -  separated by dashes  And followed with a dot. the suffix is made up of the distro, architecture, and RPM extension.  these are separated with the DOT. the only difference in naming between the binary and the source is that the extension for the source ends in .src.rpm. .  sometimes distro is replaced with package source.
 Where is the RPM database found on the system?;  The RPM database is found in /var/lib/rpm
Should the RPM files in the database ever be manually modified?;  No. They should only be modified using the RPM command.
what is the command to specify an alternative data base directory for RPM?; $ rpm --dbpath [path to dir]
What is the command to rebuild the RPM database?; $ sudo rpm --rebuilddb
RPM has helper programs. Where are they found?; RPM helper programs are found in /usr/lib/rpm
Show a command that can count the number of files in a directory.;$ ls directory | wc -l # the l Option counts the number of new lines.
In what file are RPM default settings found?; /usr/lib/rpm/rpmrc, or /etc/rpmrc, or ~/,rpmrc. We can also create our own rpmrc  fire.
Use RPM to query The Bash  package.; $ rpm -q bash
 use RPM to show which package Bash comes from.; $ rpm -qf  /bin/bash
Use RPM to show which files were installed by Bash.; $ rpm -ql bash 
Use RPM to show information about The Bash package.; $ rpm -qi bash
Use RPM to list all packages on this system.; $ rpm -qa
What does RPMs verify option do?; verify will check if our systems packages are consistent with the   systems RPM database.
 use rpm to verify all packages on this system.; $ rpm -Va
When using RPMs verify option what does no output  indicate?;  output is only generated when there is a problem.
Use our p.m. to verify a single package.;$ rpm -V packageName
Use RPM to install a package.; $ sudo rpm -ivh [rpm file name] #Using the install, verbose, hash progress options.
Name the tasks RPM performs when installing a package.;  RPM performs dependency checks, conflict (version)  checks, deals intelligently with config files, unpacks files and provides correct attributes and permissions, execute commands required before or after installation, and update the system RPM database.
Use RPM to uninstall a package.; $ sudo rpm -e [package name] 
What option is used to uninstall with RPM?;  The erase option  Is used.
What will happen RPM encounters dependencies or errors on uninstall?; RPM will exit if it encounters any conflicts.
Describe RPMs -vv  option.;  the -vv  very verbose option yield even more information. Lots of ugly debugging information.
 how can one fix the system after erasing the RPM package itself?;  The only way to fix this is to reinstall the operating system or perhaps boot into a rescue environment.
Using RPM, show which packages are dependent upon bzip2.; $ rpm -q --whatrequires bzip2
Upgrade an existing package using RPM.;$ sudo rpm-Uvh [rpm file name]
When RPM upgrades a package what is removed and what is not removed?; When RPM upgrades a package, the old package is removed except for the configuration files, Which is saved with the suffix .rpmsave
What happens if we use our p.m. to upgrade a package using the install flag instead of the upgrade option?;  Using the install option instead of the upgrade option will produce an error.
Describe what freshening and RPM package does.; Freshening will upgrade older versions of packages to newer versions. If the version is the same nothing happens.
 Issue the command to freshen all packages in the directory.;$ sudo  rom -Fvh *.rpm 
What is freshening useful for?;  Freshening is useful to apply lots of Patches at once. Patches are upgraded packages.
Issue the command to upgrade the kernel using RPM. Explain the options given.;$ sudo rpm -ivh [KernelFile.rpm] # the install option, never the update option. The verbose and the hash progress option. 
What happens to Grub when RPM upgrades the kernel?; Grubs configuration files are automatically updated to include the new version of the kernel. The new kernel is Now the default choice at reboot.
Describe the command rpm2cpio.; rpm2cpio will convert in RPM file into a cpio archive.  hence the name RPM to cpio.  it can also list, and extract files from the RPM without needing to install the RPM.
Issue the command to  convert an RPM into a cpio archive; $ rpm2cpio foobar.rpm > foobar.cpio
Using rpm2cpio,  list the contents of an RPM.;$ rpm2cpio foobar.rpm | cpio -t
Using rpm2cpio, Extract a file from a .rpm.; $ rpm2cpio foobar.rpm | cpio -ivd /path/to/file
